Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,3,"Last31, Title1.",female,13.503749276391883,0,2,13225,65.79,Q
0,1,"Last32, Title2.",female,40.95290479384726,0,2,94421,79.61,C
1,3,"Last33, Title3.",male,27.330885194927767,2,1,96378,6.81,C
1,2,"Last34, Title4.",male,46.39745930854247,2,0,76531,120.42,Q
0,3,"Last35, Title0.",male,40.512165842237636,0,2,19270,80.43,C
1,2,"Last36, Title1.",female,55.489046207055225,2,0,36428,64.15,S
1,2,"Last37, Title2.",female,40.230845675941026,1,1,13697,18.64,S
0,1,"Last38, Title3.",male,7.99143642085463,2,0,14612,134.0,C
1,2,"Last39, Title4.",male,29.06265557942519,3,2,32145,62.28,Q
0,1,"Last40, Title0.",female,13.591899303672577,0,1,61492,103.97,Q
1,2,"Last41, Title1.",male,22.744082206872154,3,0,15897,26.66,C
1,1,"Last42, Title2.",male,51.1571980658741,1,0,98613,144.42,Q
0,2,"Last43, Title3.",male,38.92547335256774,3,1,50960,30.87,Q
0,2,"Last44, Title4.",female,20.214973999897552,1,1,33745,33.93,C
1,1,"Last45, Title0.",female,15.807956869834415,1,2,56447,129.55,C
0,3,"Last46, Title1.",male,30.45894930026765,3,0,81113,137.32,Q
1,2,"Last47, Title2.",female,12.96815790866421,2,2,38130,35.76,C
1,3,"Last48, Title3.",female,20.604036116447865,0,1,14276,73.12,S
1,1,"Last49, Title4.",male,34.36813260171741,2,2,14586,111.36,Q
1,1,"Last50, Title0.",female,46.174368505493746,3,0,86677,132.36,C
0,2,"Last51, Title1.",female,38.52266061114216,1,0,20043,59.96,C
0,1,"Last52, Title2.",male,1.0,3,0,67200,79.97,Q
0,1,"Last53, Title3.",male,34.261134206423634,2,1,44605,112.55,Q
0,2,"Last54, Title4.",female,31.00847002525609,1,2,79975,111.01,S
0,1,"Last55, Title0.",female,35.794463995217704,0,0,15447,118.53,C
1,3,"Last56, Title1.",male,52.6269355431169,2,1,90800,87.64,S
0,1,"Last57, Title2.",female,1.1146641247336007,0,0,72836,20.17,C
1,1,"Last58, Title3.",female,21.724552047324522,3,2,50434,136.08,C
1,2,"Last59, Title4.",male,38.272688519106964,2,2,28631,130.51,C
1,3,"Last60, Title0.",female,7.8576784076448085,1,2,97941,120.72,Q
1,1,"Last61, Title1.",male,50.66328667274912,0,2,37186,19.48,C
0,1,"Last62, Title2.",female,35.15699257780922,2,1,54145,34.64,C
1,3,"Last63, Title3.",male,41.852175801807654,0,2,45470,112.82,C
0,3,"Last64, Title4.",male,22.006788738694876,1,0,30749,8.36,S
0,2,"Last65, Title0.",female,41.392691659526946,3,2,47494,146.99,S
1,2,"Last66, Title1.",male,44.95860178384653,3,2,23633,59.69,Q
0,2,"Last67, Title2.",female,33.26029228192036,3,2,10149,109.3,S
0,2,"Last68, Title3.",male,33.281612497781744,3,1,36099,133.7,S
0,2,"Last69, Title4.",female,33.784805349944165,2,2,20086,62.22,Q
1,1,"Last70, Title0.",female,17.913166293648658,0,1,47329,51.27,S
0,1,"Last71, Title1.",female,27.93459847663506,3,0,87647,93.27,C
0,1,"Last72, Title2.",male,27.864684545666975,3,2,24631,89.24,Q
0,3,"Last73, Title3.",male,35.36751410094893,3,0,10110,64.33,C
1,2,"Last74, Title4.",female,43.99753945674412,2,0,19998,92.26,S
0,2,"Last75, Title0.",female,15.18049485230227,0,1,55734,140.63,S
0,2,"Last76, Title1.",female,28.249873575525914,2,0,34735,72.81,Q
0,3,"Last77, Title2.",male,50.74037766722563,1,2,54054,33.53,S
1,1,"Last78, Title3.",female,19.589764796624102,3,1,12632,59.69,Q
1,1,"Last79, Title4.",male,18.488499757935514,1,0,39978,62.15,S
1,1,"Last80, Title0.",male,32.83228668563671,1,2,46911,24.01,S
0,2,"Last81, Title1.",female,41.82139266679448,0,1,48819,28.62,Q
0,3,"Last82, Title2.",male,30.15996477784923,3,0,59603,104.26,Q
1,2,"Last83, Title3.",female,48.60544826611785,3,2,80251,54.22,Q
1,2,"Last84, Title4.",male,41.99511575593138,0,1,52050,143.46,Q
1,3,"Last85, Title0.",male,41.785480936460864,1,0,85707,40.32,S
0,1,"Last86, Title1.",male,37.7576310185373,1,2,57675,19.34,Q
0,2,"Last87, Title2.",female,62.58714340484519,1,1,33431,114.26,Q
1,2,"Last88, Title3.",female,27.12773635587538,3,2,30611,132.75,S
1,2,"Last89, Title4.",female,1.9506879110688047,0,2,39023,45.33,S
0,3,"Last90, Title0.",female,52.459561061239974,1,1,63771,34.3,Q
1,1,"Last91, Title1.",female,23.59220796660444,0,2,31823,31.94,S
1,3,"Last92, Title2.",female,31.51032622080246,0,0,92274,80.69,Q
0,1,"Last93, Title3.",female,48.33370958804738,3,0,53187,72.92,S
1,2,"Last94, Title4.",male,7.568366425175046,3,1,87693,42.62,S
0,2,"Last95, Title0.",male,12.476939002514047,0,2,71492,11.55,S
0,3,"Last96, Title1.",male,7.5821088803360475,2,1,40001,74.82,S
1,2,"Last97, Title2.",male,18.882091939644067,0,1,30542,144.1,Q
1,1,"Last98, Title3.",female,36.15491248423791,0,2,76954,99.62,Q
0,1,"Last99, Title4.",male,37.33862979937879,1,2,39765,76.85,Q
1,2,"Last100, Title0.",male,33.86783851059975,0,2,32217,21.05,Q
0,3,"Last101, Title1.",female,10.221277625506868,1,0,93733,41.6,S
1,1,"Last102, Title2.",female,1.0,3,2,53436,47.74,Q
0,3,"Last103, Title3.",female,30.76095019546535,2,1,14371,115.9,C
1,2,"Last104, Title4.",male,23.3951355290633,2,1,54528,132.12,C
1,1,"Last105, Title0.",male,36.43140080403256,1,1,51468,135.74,Q
1,1,"Last106, Title1.",female,39.82735076709778,0,0,87756,147.76,Q
1,2,"Last107, Title2.",male,31.935380048821546,0,0,74039,147.44,Q
0,1,"Last108, Title3.",male,40.641863195261955,1,1,27221,143.18,C
1,1,"Last109, Title4.",male,33.208959237610955,0,2,23540,15.41,C
0,2,"Last110, Title0.",female,37.420905878420534,3,2,64322,24.98,Q
1,3,"Last111, Title1.",female,20.134574319821645,3,0,14263,49.15,S
1,1,"Last112, Title2.",female,27.48544020635958,3,2,38711,85.17,S
0,1,"Last113, Title3.",female,32.7548653531974,2,0,22438,19.06,C
1,1,"Last114, Title4.",female,41.48739865584386,2,2,11850,127.64,S
1,2,"Last115, Title0.",male,24.48762358885599,2,1,92693,94.43,S
0,3,"Last116, Title1.",female,37.296341580249575,1,1,18083,83.64,Q
0,3,"Last117, Title2.",male,26.278256913184695,2,2,10833,28.97,Q
0,3,"Last118, Title3.",male,28.354409657406176,3,1,93959,41.72,C
0,3,"Last119, Title4.",female,41.61326658833703,3,2,26948,28.25,C
0,1,"Last120, Title0.",male,2.097154805241818,2,1,83489,128.53,C
1,1,"Last121, Title1.",male,11.849387406953348,0,2,12815,89.71,Q
1,2,"Last122, Title2.",male,9.24940443580051,2,1,23819,111.59,C
0,3,"Last123, Title3.",female,1.0,1,0,19956,47.92,S
1,3,"Last124, Title4.",male,20.504297837827526,2,2,73562,58.83,C
1,1,"Last125, Title0.",male,40.49207459618837,2,1,65812,63.7,C
0,1,"Last126, Title1.",female,26.011623070643953,3,1,52794,115.2,Q
1,1,"Last127, Title2.",male,32.76906114718593,1,0,31747,116.99,Q
1,1,"Last128, Title3.",female,45.2490449539511,3,0,17997,34.99,Q
1,2,"Last129, Title4.",female,48.58760585174768,3,1,61228,141.52,C
1,2,"Last130, Title0.",female,29.032068913834046,1,0,30764,22.5,C
1,2,"Last131, Title1.",male,48.95020245397156,1,2,63116,134.94,C
0,1,"Last132, Title2.",male,31.289773218077528,2,2,71871,19.56,S
1,3,"Last133, Title3.",male,18.27642486641553,3,2,86448,43.36,Q
1,2,"Last134, Title4.",female,21.678395069217707,2,2,54458,127.74,Q
0,3,"Last135, Title0.",male,9.272488824089773,3,1,10426,31.03,Q
1,3,"Last136, Title1.",male,17.566126047728865,1,0,35259,64.97,S
0,1,"Last137, Title2.",male,24.98776636695799,2,1,86802,70.23,S
0,1,"Last138, Title3.",female,41.250190271300426,1,1,57992,40.56,Q
0,3,"Last139, Title4.",male,54.09077763632377,3,2,65720,107.99,C
1,2,"Last140, Title0.",female,10.649458784721439,1,0,51203,128.44,Q
0,1,"Last141, Title1.",male,35.49958455563886,2,1,24646,131.81,C
0,2,"Last142, Title2.",male,15.432384851794518,0,1,90702,54.2,C
0,2,"Last143, Title3.",male,36.64575923848483,3,0,79563,81.97,C
1,3,"Last144, Title4.",female,28.16478689037183,1,0,99565,41.02,Q
1,1,"Last145, Title0.",male,4.367318438134575,1,1,86993,40.5,C
0,3,"Last146, Title1.",male,42.99615788195878,2,0,36201,28.38,Q
0,3,"Last147, Title2.",female,21.529990020677765,1,0,32883,141.3,S
1,1,"Last148, Title3.",female,22.525396662770234,3,1,32362,133.76,C
0,1,"Last149, Title4.",female,15.023466241944341,2,0,92690,117.72,Q
1,2,"Last150, Title0.",female,20.840034126374224,2,1,60123,80.06,Q
0,1,"Last151, Title1.",male,35.99046616972884,0,0,50900,76.14,Q
1,1,"Last152, Title2.",female,27.35057922689032,0,0,97142,81.81,S
0,2,"Last153, Title3.",male,34.60126803195473,1,1,64307,82.8,Q
0,3,"Last154, Title4.",female,35.06690595500381,3,2,91847,68.01,Q
1,3,"Last155, Title0.",female,48.489263177394335,3,1,98617,24.1,Q
0,1,"Last156, Title1.",female,25.20099388789869,2,2,17150,23.22,S
1,3,"Last157, Title2.",female,9.323990564159754,2,1,42537,143.08,Q
1,1,"Last158, Title3.",female,44.94111383200776,1,1,76071,74.89,Q
1,3,"Last159, Title4.",female,25.359165590638433,0,1,83183,143.21,Q
1,3,"Last160, Title0.",female,45.604294224083276,0,2,23363,28.72,S
1,3,"Last161, Title1.",male,35.36727958455459,1,2,38655,85.39,Q
0,1,"Last162, Title2.",male,28.164074577153173,1,2,59335,35.12,S
0,3,"Last163, Title3.",male,34.88286251664813,0,2,81928,41.71,C
0,1,"Last164, Title4.",female,57.31417584176819,1,1,20166,9.36,C
1,2,"Last165, Title0.",male,59.077727406752544,0,1,64065,22.25,C
0,2,"Last166, Title1.",male,30.971335891858903,2,2,36679,137.94,Q
0,1,"Last167, Title2.",male,32.24266830643906,3,0,29471,51.62,S
0,1,"Last168, Title3.",female,45.0673622045294,2,1,56385,93.18,C
0,3,"Last169, Title4.",female,18.16074554125714,1,2,47261,72.43,C
0,2,"Last170, Title0.",female,34.66298521665557,1,1,67213,63.07,C
0,2,"Last171, Title1.",male,29.63792012864601,1,0,38586,82.12,S
1,2,"Last172, Title2.",male,34.39471496040575,0,1,84094,32.15,S
1,2,"Last173, Title3.",male,18.33283671670832,2,0,17029,148.35,S
1,3,"Last174, Title4.",male,7.7460550936744355,2,2,87568,123.65,C
0,1,"Last175, Title0.",male,1.0,0,2,12685,112.53,C
1,3,"Last176, Title1.",female,14.356622418145491,1,0,76229,72.97,C
0,3,"Last177, Title2.",female,23.578546010849337,1,1,41182,27.17,C
1,2,"Last178, Title3.",female,25.895317786917335,0,2,44499,138.5,S
1,1,"Last179, Title4.",male,57.121236274013235,2,2,11713,54.5,S
1,1,"Last180, Title0.",male,45.483907178702175,2,0,73188,12.27,C
0,3,"Last181, Title1.",female,16.530724371217218,2,1,24893,54.65,Q
0,3,"Last182, Title2.",male,34.867918334313394,2,1,69323,120.2,S
1,1,"Last183, Title3.",male,24.300904691095447,3,1,75265,95.29,Q
0,1,"Last184, Title4.",male,26.018906267438666,3,0,86070,113.87,C
0,1,"Last185, Title0.",female,32.59455909181535,2,0,73727,120.08,S
0,1,"Last186, Title1.",female,38.66839563765551,3,2,37134,35.73,C
0,3,"Last187, Title2.",male,25.250381225623784,1,0,76471,138.95,S
0,3,"Last188, Title3.",female,44.89392145828102,3,0,84334,68.51,S
0,1,"Last189, Title4.",female,14.012864834006344,3,0,38543,97.66,C
1,3,"Last190, Title0.",female,30.08874687307176,2,0,21175,5.33,C
1,1,"Last191, Title1.",female,66.36743217234165,3,0,90100,149.04,Q
1,2,"Last192, Title2.",male,33.12311639675385,2,1,23314,45.73,S
0,2,"Last193, Title3.",female,50.06500309248642,2,2,63444,14.0,Q
1,3,"Last194, Title4.",male,31.281282494424914,1,0,31265,71.45,S
0,3,"Last195, Title0.",female,38.130879334617156,3,0,21342,23.71,S
0,1,"Last196, Title1.",female,29.20503527850232,2,0,79876,27.09,Q
0,1,"Last197, Title2.",female,27.61429386370114,3,1,22934,96.68,Q
0,1,"Last198, Title3.",female,19.087246445844123,1,0,70319,61.97,C
1,1,"Last199, Title4.",female,36.02421902540574,3,2,72377,138.67,S
